Account,date,sentiment_bucket,daily_pnl,num_trades,avg_trade_size,total_fees,win_rate,longs,shorts,long_short_ratio,risk_bucket,activity_segment,consistency,cluster
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,Greed,55.01524,9,1862.9299999999998,3.659253,0.2222222222222222,7,2,2.3333333333333335,Low Risk,Low Activity,Consistent,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,Fear,21703.816512999998,525,8441.060742857142,538.0863564464,0.3238095238095238,297,228,1.296943231441048,High Risk,Low Activity,Consistent,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,Greed,155.50335699999994,1043,11034.799511025887,2783.498528,0.2751677852348993,489,554,0.8810810810810811,High Risk,High Activity,Inconsistent,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,Greed,2606.8947559999997,3076,7639.724411573472,4561.206114,0.21879063719115735,1513,1563,0.967391304347826,High Risk,High Activity,Inconsistent,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,Neutral,62586.1816,1643,2875.2178940961658,2953.83210411,0.20998174071819842,1019,624,1.6304,Medium Risk,High Activity,Inconsistent,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,Greed,1421755.845871,1268,2166.171861198738,812.141368,0.5670347003154574,148,1120,0.1320249776984835,Medium Risk,High Activity,Inconsistent,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,Fear,553818.000465,7380,1818.587241192412,4707.64902071,0.3910569105691057,3477,3903,0.890625,Low Risk,High Activity,Inconsistent,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,Fear,22488.500821,4838,22504.555828854896,28643.173715,0.4386109962794543,2368,2470,0.9583164710643464,High Risk,High Activity,Inconsistent,2
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,Fear,940157.212682,21190,3210.7751864086836,8596.700755219,0.46753185464841907,11195,9995,1.1199479791916767,Medium Risk,High Activity,Inconsistent,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,Greed,11671.68,267,2725.7805992509366,81.227387,0.15355805243445692,49,218,0.2237442922374429,Medium Risk,Low Activity,Inconsistent,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,Fear,325441.97721599997,2211,8103.972912709181,3999.85393243,0.3722297602894618,1054,1157,0.9101899827288429,High Risk,High Activity,Inconsistent,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,Greed,684215.002602,9883,2693.2837964180917,2512.00733119,0.5692603460487706,3092,6791,0.4552414605418139,Medium Risk,High Activity,Inconsistent,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,Fear,126967.976166,26651,1554.8373344339798,9512.31758037,0.3848636073693295,12568,14083,0.8923601249644987,Low Risk,High Activity,Inconsistent,0
